"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"a1",0.875,1,1,0.975,1,1
"a2",0.0621761658031088,0.0772200772200772,0.10880829015544,0.102762823478572,0.12015503875969,0.145454545454545
"b1",0.48813234783824,0.631261321567708,0.710384823603829,0.816101122204617,0.897554879189891,1.35317223882342
"b2",0.916459138149042,0.965635743172885,0.981150695750852,0.967523679071352,0.986227793022697,0.988145025261285
